,CenLat,CenLon,Slope,Zmin,Zmed,Zmax,Area,Aspect,Lmax,avg predicted thickness,predicted thickness std dev
0,64.8174,-23.7852,15.0,630,922,1419,4.903,336,3412,55.880863,7.343696
1,64.7951,-23.7686,17.7,769,1152,1415,1.897,139,1823,77.04792,5.5162992
2,64.7979,-23.8043,22.8,761,1012,1417,0.751,262,1244,65.85427,6.402934
3,64.8036,-23.821,17.8,786,853,911,0.067,262,334,60.9725,7.249535
4,64.8046,-23.7993,16.1,900,1125,1416,0.978,310,1960,62.263145,6.8463373
5,64.8003,-23.753,17.3,817,1087,1420,0.912,114,2009,83.10091,6.129266
6,64.8116,-23.7522,15.7,708,1010,1409,2.712,67,2423,84.22559,6.066543
7,65.4045,-18.542,13.6,922,1060,1210,2.166,46,1995,83.599846,6.450956
8,65.6388,-18.3031,19.2,1240,1336,1423,0.448,87,902,80.49052,6.803854
9,65.6495,-18.2939,15.2,1000,1123,1397,1.0,22,1503,90.192276,7.505886
10,65.6563,-18.3097,25.5,1106,1225,1274,0.258,44,406,85.020485,7.2797556
11,65.641,-18.3319,20.6,1171,1243,1307,0.052,253,215,61.465992,6.274354
12,65.6436,-18.3225,16.3,1063,1235,1424,0.828,328,1293,59.187428,7.759755
13,65.6683,-18.9709,17.2,948,1120,1182,0.771,342,1316,57.915157,8.539936
14,65.6694,-19.0037,19.3,978,1137,1176,0.469,109,1199,79.30587,6.0608897
15,65.6644,-18.3142,23.6,1077,1160,1189,0.077,63,355,82.499016,6.98575
16,65.6725,-18.9196,12.0,1052,1091,1326,3.279,284,2959,56.75557,5.6423984
17,65.6796,-18.6833,37.7,1157,1261,1331,0.096,29,305,87.137764,7.6622663
18,65.6845,-18.7129,27.1,1166,1206,1278,0.119,18,325,87.493126,7.8293753
19,65.6958,-18.7361,19.4,1065,1116,1171,0.229,333,564,56.63016,8.524984
20,65.6965,-18.7501,18.0,1022,1072,1141,0.165,345,491,56.265213,8.98142
21,65.4502,-18.5253,21.8,1080,1134,1207,0.23,42,413,84.58277,7.2923565
