,layer architecture,total parameters,trained parameters,total inputs,df,dropout,learning rate,validation split,epochs,test mae avg,train mae avg,test mae std dev,train mae std dev,test predicted thickness std dev,train predicted thickness std dev
0,10-5,192.0,171.0,2860.0,df9,1,0.1,0.2,100,13.063730964660644,14.284435005187989,2.1139282879172354,0.9136426947381716,4.231812953948975,2.7862186431884766
1,10-5,192.0,171.0,2860.0,df9,1,0.01,0.2,100,14.804655151367188,15.788112869262696,6.607766313516662,6.646342224843883,10.255621910095215,9.517414093017578
2,10-5,192.0,171.0,2860.0,df9,1,0.001,0.2,100,20.99341857910156,21.33132278442383,5.07431216092458,2.590828712683837,5.222933292388916,5.160072326660156
3,45-24,1645.0,1624.0,2860.0,df9,1,0.1,0.2,100,12.660294265747071,13.541178131103516,2.354369588558344,0.9414651969524823,4.373389720916748,3.2869977951049805
4,45-24,1645.0,1624.0,2860.0,df9,1,0.01,0.2,100,12.698390617370606,13.898520545959473,2.285141235404711,0.609808604275443,3.9691171646118164,1.8753024339675903
5,45-24,1645.0,1624.0,2860.0,df9,1,0.001,0.2,100,14.34112766265869,15.562903747558593,2.269804625426574,0.6138750414386913,3.9747633934020996,1.0597525835037231
6,64-40,3366.0,3345.0,2860.0,df9,1,0.1,0.2,100,12.535431785583496,13.472680778503419,2.272139174413044,0.9752781905914959,5.066115379333496,2.5566272735595703
7,64-40,3366.0,3345.0,2860.0,df9,1,0.01,0.2,100,12.745695343017578,13.632720489501953,2.222382916370429,0.6102316166849564,4.153382301330566,1.9225990772247314
8,64-40,3366.0,3345.0,2860.0,df9,1,0.001,0.2,100,13.876356620788574,15.1268705368042,2.488723324331766,0.6069319572871066,4.210223197937012,1.1134116649627686
9,64-40,3366.0,3345.0,2860.0,df9,1,0.01,0.2,25,13.510052185058594,14.713564682006837,2.4139610454662837,0.6886659055834286,4.410463809967041,1.1365936994552612
10,64-40,3366.0,3345.0,2860.0,df9,1,0.1,0.2,25,14.740803527832032,15.418965759277343,2.474731520458894,1.1656863895178056,6.042514324188232,4.272761821746826
11,64-40,3366.0,3345.0,2860.0,df9,1,0.01,0.2,10,14.503130124962848,15.78812951626985,2.328048607570782,0.5808512016140449,4.170854091644287,1.3725708723068237
12,64-40,3366.0,3345.0,2860.0,df9,1,0.01,0.2,15,13.453672409057617,15.59630298614502,0.0,0.0,0.0,0.0
13,64-40,3366.0,3345.0,2860.0,df9,1,0.01,0.2,20,17.816240310668945,14.818275451660156,0.0,0.0,0.0,0.0
